	BALF1	BALF2	BALF16	BALF19	BALF25	BALF28	BALF33	BALF39	BALF42	BALF44	BALF45	BALF54	BALF56	BALF59	BALF60	BALF63	BALF65	BALF67	BALF72	BALF76	BALF77	BALF78	BALF81	BALF85	BALF88	BALF95	BALF96	BALF97	BALF105	BALF106	BALF108	BALF109	BALF112	BALF113	BALF114	BALF115	BALF116	BALF120	BALF121	BALF123	BALF126	BALF127	BALF128	BALF133	BALF136	BALF138	BALF143	BALF148	BALF150	BALF153	BALF155	BALF161	BALF162	BALF163	BALF165	BALF166	BALF169	BALF181	BALF182	BALF194	BALF198	BALF203	BALF204	BALF206	BALF208	BALF214	BALF217	BALF218	BALF221	BALF222	BALF225	BALF228	BALF231	BALF237	BALF238	BALF247	BALF248	BALF253	BALF254	BALF255	BALF256	BALF177	BALF259	BALF263	BALF265	BALF267	BALF270	BALF283
K02039: phosphate_transport_system_protein	1240.88	1041.08	109.796	17.1209	1499.51	436.21	1019.97	490.483	1184.36	1096.4	1372.14	103.838	0	0	0	804.433	779.402	0	1007	0	0	0	181.675	843.77	0	1060.48	1060.19	0	0	0	0	943.324	0	402.401	385.809	0	939.617	777.291	60.7232	0	397.036	0	646.933	0	0	0	808.503	1114.61	586.086	0	0	0	0	0	0	0	0	1324.37	340.645	0	954.166	984.046	475.705	655.472	0	711.246	260.191	0	271.93	493.105	0	0	787.081	1049.29	406.78	1059.47	837.007	1174.32	0	804.36	0	651.861	0	0	759.806	943.448	0	909.598
K01154: type_I_restriction_enzyme_S_subunit	93.3971	208.137	292.3193	0	2160.932	177.911	2375.357	894.948	2262.954	2167.403	2082.819	0	81.2749	0	261.125	1011.656	620.778	316.0351	2189.07	0	0	0	19.38511	1820.712	0	1382.027	2148.368	0	424.886	0	72.579	2129.743	0	945.6149	988.813	0	449.4697	1771.285	52.197	0	0	0	1630.163	0	121.36	0	505.101	2054.075	459.932	0	0	0	0	0	0	0	0	2070.145	0	0	1950.741	2308.922	1501.9998	2889.885	0	684.5825	98.0656	0	220.7557	1485.4148	0	0	731.386	1728.24	1464.879	1878.623	2350.704	895.478	83.2369	1434.4818	1119.636	1120.381	438.273	385.915	1785.872	1542.482	0	1199.808
K06881: bifunctional_oligoribonuclease_and_PAP_phosphatase_NrnA	554.28	0	163.7433	0	1511.907	279.43	1833.299	907.053	1620.523	1248.501	877.877	0	0	0	0	928.211	846.079	499.176	1733.564	0	0	0	0	1515.562	0	1190.9	1484.967	0	0	0	153.388	1873.593	405.326	653.668	937.257	227.323	1096.557	1095.988	0	0	0	0	970.656	0	0	326.803	0	2015.92	611.725	0	0	0	0	0	0	0	0	1446.419	0	0	1648.46	1869.096	1078.549	1561.187	0	1115.575	539.606	0	411.005	1036.007	0	0	1377.065	1860.83	1104.588	1494.723	1640.196	1902.893	0	1734.347	0	1302.344	0	0	1549.781	1681.263	0	1440.732
K16785: energy_coupling_factor_transport_system_permease_protein	2141.192	370.542	198.5666	0	1856.345	358.4	1620.774	1198.438	1934.091	1293.305	1091.011	0	90.2449	0	0	877.133	625.023	134.293	1660.66	0	0	0	30.9177	1529.938	0	1084.084	1138.244	431.208	507.053	0	256.398	2145.643	0	576.294	1804.738	489.058	309.235	1422.556	0	0	0	0	980.284	0	198.022	429.659	0	1781.287	898.28	0	0	0	0	0	0	164.903	0	1521.078	0	0	1126.468	1781.437	296.831	1307.178	0	939.93	0	0	64.9806	1097.849	0	0	941.298	1924.366	743.097	1577.936	1951.106	1654.143	0	1546.616	0	447.45	0	0	1886.265	1579.578	0	1643.054
K03685: ribonuclease_III	1492.64	524.506	131.398	38.689	1051.94	574.225	1139.37	777.995	834.195	1127.89	938.883	0	0	85.554	108.239	533.657	291.768	216.124	904.39	0	0	0	252.6151	702.467	0	688.858	709.759	0	837.302	0	181.655	916.806	0	495.355	816.289	600.015	311.356	914.778	0	0	0	0	530.546	0	140.134	0	417.996	787.328	349.944	0	0	0	0	0	0	0	182.329	1039.18	0	0	333.786	1020.82	391.491	853.864	0	612.903	147.473	0	0	690.24	0	0	488.653	864.343	730.043	930.211	932.369	803.181	486.697	839.621	95.2821	613.565	0	0	969.884	900.645	0	462.592
K16786: energy_coupling_factor_transport_system_ATP_binding_protein	395.437	0	274.108	0	1575.288	0	1608.558	976.234	1704.583	1309.243	1127.653	0	0	0	0	658.526	551.648	0	1640.6	0	0	0	263.329	1307.198	0	1123.799	1273.684	0	655.871	0	319.173	1536.704	0	203.528	483.06	975.705	982.865	1318.635	266.572	107.142	263.436	0	975.262	0	120.888	0	201.228	1838.193	799.981	0	0	0	0	0	0	0	305.968	2170.72	0	0	1494.814	1703.902	585.708	1177.561	0	1359.974	407.222	0	381.144	947.633	0	0	698.587	1744.877	1202.315	1719.801	1749.739	1946.46	0	1876.619	263.106	389.497	0	0	1607.869	1275.183	0	1555.317
K03530: DNA_binding_protein_HU_beta	0	0	387.3948	28.0137	1018.51	0	877.549	528.135	748.868	779.975	907.278	126.276	122.34	47.6833	0	282.888	637.295	0	853.268	0	0	0	0	564.963	0	1139.54	298.352	0	1619.38	0	351.266	1130.432	0	22.0926	0	1822.04	0	719.885	17.2415	0	0	0	493.282	533.137	0	1496.79	0	591.492	360.968	258.083	0	532.239	0	0	294.506	0	39.6648	1182.32	0	0	826.94	1157.08	0	870.78	0	890.882	0	0	279.561	514.775	364.844	0	479.8113	1165.81	594.438	851.697	1303.31	665.315	0	651.4853	368.494	1190.73	0	0	1401.61	746.9826	567.632	404.534
K03705: heat_inducible_transcriptional_repressor	1230.35	674.667	106.763	0	1182.6	222.666	859.347	391.431	942.721	1044.46	414.166	0	0	45.4968	0	525.342	227.318	171.161	919.718	0	0	0	82.3408	810.097	0	780.275	641.029	0	646.324	0	186.929	1319.06	0	320.097	765.067	0	310.423	546.686	103.206	0	0	0	1033.59	425.51	270.379	0	412.608	805.509	467.95	0	0	0	0	0	0	0	337.817	765.166	0	0	773.024	1066.48	428.788	469.165	0	426.192	0	0	421.205	306.953	0	0	778.035	1005.13	504.142	962.727	871.269	962.385	150.248	1068.84	343.197	0	0	0	715.148	780.822	0	840.789
K02358: elongation_factor_Tu	570.254	708.791	112.158	92.9935	923.156	306.362	752.251	592.75	925.693	983.06	838.502	0	0	141.882	157.286	510.677	569.174	524.47	895.709	0	0	0	0	726.627	0	708.258	635.302	0	424.384	0	0	1074.87	360.425	0	630.403	363.804	332.163	536.421	0	0	0	0	416.544	0	78.4497	0	0	815.281	457.19	0	0	0	0	0	0	0	0	900.381	0	0	812.737	1097.21	331.211	775.856	0	352.329	0	0	263.19	467.67	0	0	1048.38	1094.54	584.182	1262.66	1057.95	1124.14	0	1033.1	0	1206.55	0	0	954.997	654.748	0	959.894
K03346: replication_initiation_and_membrane_attachment_protein	600.518	671.828	110.743	0	1109.22	290.36	731.064	862.071	861.96	517.749	879.936	0	0	0	0	248.969	452.712	329.589	1062.42	507.966	0	0	0	671.847	0	672.37	720.245	0	601.356	0	0	818.275	0	247.567	559.944	0	772.791	663.92	0	0	0	0	422.038	0	358.535	330.491	122.283	904.814	328.526	0	0	0	0	0	0	101.228	0	877.31	0	0	616.437	1119.85	0	590.682	0	717.976	346.307	0	143.565	459.714	0	0	430.611	893.403	627.334	954.609	666.259	798.661	0	661.073	0	433.804	275.001	0	862.757	781.971	0	890.083
K02356: elongation_factor_P	0	865.929	125.61	29.5197	770.367	408.271	1178.38	354.285	1074.2	667.287	775.089	265.7385	0	69.9731	304.891	603.805	518.686	244.093	995.543	477.323	0	0	118.059	1009.06	167.142	848.641	584.886	0	345.646	65.7878	200.171	1298.42	176.132	547.573	673.892	0	442.521	796.329	73.9879	0	0	0	385.973	0	192.794	0	756.393	719.78	577.222	0	0	0	0	0	0	204.018	0	639.353	212.501	174.095	1229.48	1130.28	539.554	295	0	557.782	486.938	0	92.5284	483.451	0	0	426.954	1086.36	507.666	1128.18	985.432	639.324	0	1132.56	0	0	0	0	1276.06	857.5246	0	592.546
K02316: DNA_primase	879.366	642.606	337.619	0	1852.947	294.52	2324.621	852.155	2004.891	1542.463	520.03	0	0	0	86.9994	1014.901	750.024	572.831	1950.137	0	0	0	0	1355.534	0	1395.241	1073.889	0	1943.006	0	0	1745.785	0	569.877	1785.442	0	410.556	1561.495	0	0	0	0	876.44	0	133.221	0	0	1386.05	614.165	0	0	0	0	0	0	0	0	1717.892	0	0	1313.679	1868.228	186.752	1160.233	0	1089.96	0	0	83.7611	961.672	0	0	1314.414	1595.147	1023.592	1532.962	1568.429	1506.139	258.398	1292.423	194.292	657.335	383.231	0	1350.088	1504.206	0	1324.025
K00942: guanylate_kinase	1247.36	436.05	114.977	125.338	1217.59	404.036	1186.78	616.307	815.999	772.939	605.068	173.968	0	0	121.191	891.892	291.795	0	858.933	0	0	0	292.502	991.798	0	593.891	564.328	0	1392.44	0	151.019	1162.66	0	459.743	775.65	0	594.465	859.285	63.772	0	0	0	457.895	0	0	321.757	253.977	997.512	349.179	0	0	0	0	0	0	520.961	0	808.66	0	0	309.351	966.611	489.059	598.909	0	507.677	0	211.953	0	442.633	0	0	773.994	1039.61	734.677	1117.42	1022.21	834.66	0	1005.38	211.235	0	0	0	807.797	861.992	0	447.636
K03657: DNA_helicase_II_ATP_dependent_DNA_helicase_PcrA	919.456	1103.57	124.7452	0	1499.872	274.216	1956.069	1183.808	1752.045	1419.775	1277.907	0	0	0	130.684	1192.799	350.664	0	1639.812	0	0	0	33.4571	1307.883	0	1202.885	1012.467	0	0	0	212.026	1378.818	0	614.654	1043.394	521.338	997.598	1573.509	0	0	0	0	940.266	0	114.496	316.22	389.558	1407.945	524.994	0	0	0	0	0	0	0	0	1104.238	0	0	1423.999	1637.858	751.35	1574.583	0	912.907	262.691	0	0	982.467	0	0	1029.757	1539.618	867.493	1448.269	1435.528	1245.73	0	1459.706	215.989	418.758	0	0	1307.239	1226.589	0	1067.357
K08483: phosphoenolpyruvate_protein_phosphotransferase_PTS_system_enzyme_I	793.489	623.616	185.033	0	1104.16	0	1107.48	399.919	1017.81	540.682	522.809	0	0	0	95.387	402.229	358.706	230.264	900.808	0	0	0	38.6995	681.166	0	710.656	632.882	0	606.752	0	0	928.283	0	234.227	467.967	360.097	498.136	723.718	0	0	0	0	359.842	0	354.053	287.601	272.419	986.907	509.782	0	0	0	0	0	0	0	195.159	884.296	315.639	0	744.789	1040.63	203.999	933.595	0	513.534	263.009	0	133.272	854.554	0	0	611.101	1037.17	427.947	1019.64	996.161	1010.19	195.299	1060.68	141.306	851.105	0	0	876.339	892.55	0	673.423
K03647: protein_involved_in_ribonucleotide_reduction	419.441	0	170.155	0	986.325	1198.29	1213.17	567.046	1418.36	406.816	900.117	0	0	0	0	599.819	475.699	575.842	1003.868	969.896	0	0	169.9395	849.251	0	579.772	793.526	554.509	702.336	0	270.838	626.249	477.188	0	260.822	0	199.896	652.8	142.002	0	0	0	808.216	0	104.466	0	426.743	993.858	626.217	29.2297	154.136	0	426.943	0	0	0	0	935.181	0	0	896.93	989.101	0	805.68	0	343.45	0	0	0	535.826	0	0	404.856	1085.12	300.78	1161.99	661.092	577.366	0	917.555	0	550.854	0	0	1135.97	667.111	0	964.272
K00655: 1_acyl_sn_glycerol_3_phosphate_acyltransferase	603.919	1407.8	0	81.8606	894.598	216.959	611.232	335.118	935.523	867.177	612.158	0	0	0	242.213	811.059	399.447	0	999.599	0	0	0	49.0548	413.667	0	544.044	596.313	0	0	0	0	669.639	400.889	89.0575	438.236	578.069	618.42	482.292	0	0	268.446	0	591.686	296.005	150.45	277.014	204.993	809.882	375.778	58.6344	0	0	0	0	0	0	0	636.54	414.573	0	917.027	955.154	593.355	918.519	0	312.657	0	0	0	457.297	0	0	1027.27	880.706	412.551	1090.35	628.332	738.168	261.264	1030.5	0	0	0	0	935.82	735.287	0	706.451
K12574: ribonuclease_J_EC_3_1_	754.009	828.112	222.4578	0	1622.194	0	1598.106	889.768	1871.457	1643.061	1332.372	0	0	0	0	1388.059	789.177	303.001	1717.048	0	0	0	51.6243	1573.038	0	1434.605	1206.752	0	0	0	179.252	1667.179	0	588.756	687.224	731.847	909.144	999.306	146.183	136.988	0	0	951.712	0	94.2536	462.777	208.69	1648.512	633.558	0	0	0	0	0	0	127.559	0	1978.457	0	0	1679.341	1924.482	473.302	1315.065	0	1125.288	0	0	279.414	1359.314	0	0	1213.949	1889.078	1172.275	1803.903	1817.365	1626.772	243.824	1829.952	0	497.039	0	156.236	1531.196	1455.183	0	1135.885
K09903: uridylate_kinase	465.854	875.74	147.227	60.103	832.486	567.733	1285.19	364.03	1120.53	632.743	924.002	82.149	0	0	0	731.117	688.488	0	1080.9	0	0	0	29.2494	582.374	0	820.169	502.273	0	524.344	0	0	518.858	0	173.123	365.104	0	279.819	669.819	142.323	278.951	0	0	505.831	0	0	323.1	419.197	844.021	292.197	42.4858	0	0	0	0	0	0	0	753.97	0	0	584.609	962.687	241.589	591.031	0	461.503	0	292.473	0	500.04	0	0	744.841	1095.17	408.339	734.682	924.488	718.409	0	1120.54	238.631	616.878	0	0	622.262	830.988	0	468.172
K01462: peptide_deformylase	0	0	89.4538	51.2232	877.789	266.524	600.022	599.227	795.715	947.566	542.218	0	83.9142	196.5587	0	1023.02	380.929	298.774	992.402	0	0	0	107.7845	834.906	0	659.362	848.064	0	1011.19	0	0	1268.56	1183.85	223.398	942.693	0	866.985	470.856	98.7571	0	0	0	824.716	0	352.6735	521.4	246.797	935.0031	376.879	82.1827	334.258	0	0	0	0	0	294.842	1163.04	0	0	645.032	969.447	0	1055.59	0	958.019	158.939	379.497	90.6051	731.622	117.086	0	919.776	1077.04	248.483	1214.25	697.638	845.634	0	793.662	0	0	0	492.838	1017.52	688.13	0	507.701
K02357: elongation_factor_Ts	614.302	490.847	32.3642	48.1317	540.608	347.088	721.36	511.19	1070.74	548.524	753.223	0	0	0	0	456.322	365.109	172.953	995.776	0	0	0	0	857.738	0	566.72	475.562	0	783.711	0	254.045	903.846	0	491.642	1418.83	0	501.766	1051.01	254.907	83.9572	0	0	555.508	0	0	481.892	285.894	892.972	502.156	0	0	0	0	0	0	0	0	962.563	0	0	1000.38	1087.05	214.049	1243.16	0	660.593	0	0	209.3647	507.329	0	0	1282.69	1088.11	431.524	892.366	912.818	1100.62	0	1192.0862	0	461.009	0	0	847.304	859.861	0	824.225
K03501: 16S_rRNA_guanine527_N7_methyltransferase	1076.11	0	75.7426	0	764.175	270.111	655.257	446.098	912.698	530.141	439.87	0	0	0	300.281	399.709	579.573	242.378	857.622	0	0	0	215.223	348.51	0	1252.89	502.787	0	0	0	545.957	974.156	0	947.447	477.969	662.004	219.621	1103.37	28.7446	0	0	0	627.207	0	153.151	0	0	944.724	459.03	0	0	0	0	0	0	0	0	765.404	0	0	699.501	1164.73	265.714	552.738	270.849	503.512	0	0	0	261.746	0	0	805.415	963.709	787.422	823.316	898.995	1128.43	0	770.728	416.534	1615.15	0	0	886.628	842.051	0	833.486
K01056: peptidyl_tRNA_hydrolase_PTH1_family	785.198	0	162.162	59.6711	1035.35	0	478.118	359.37	1021.14	1413.044	674.011	0	0	130.208	0	285.82	164.416	371.395	971.335	0	0	0	231.071	666.955	0	971.792	566.329	0	350.608	0	0	895.996	0	277.825	390.609	675.989	523.89	665.482	151.0371	106.755	0	0	675.972	0	469.347	324.067	101.35	607.74	271.245	0	0	158.336	159.848	0	0	105.858	0	941.59	644.862	0	559.687	960.454	273.649	339.264	0	437.2	0	0	99.0708	668.714	0	0	649.624	978.83	353.925	775.076	791.521	720.557	163.009	741.367	0	618.476	0	0	776.655	689.07	0	723.595
K01803: triosephosphate_isomerase_TIM	896.144	0	198.266	32.0198	925.895	0	1052.21	583.298	1126.3	772.595	1041.69	0	0	118.618	178.224	728.089	515.951	0	911.429	0	0	0	147.0051	968.206	0	988.638	645.072	444.27	625.23	0	361.656	1225.3	0	198.176	766.219	0	854.163	842.314	99.625	0	0	0	710.679	0	306.891	385.267	0	1067.41	390.228	0	0	0	0	0	0	0	0	882.41	0	0	574.047	1201.17	388.735	591.668	0	476.961	0	0	302.423	763.202	0	0	525.169	994.533	711.475	1105.05	896.499	974.641	0	876.893	0	367.784	0	0	750.59	847.825	0	624.736
K03424: TatD_DNase_family_protein	1133.87	384.253	136.802	0	902.337	317.046	1725.43	771.705	1133.29	688.493	1400.52	0	196.928	0	226.089	1176.83	517.473	243.71	1017.87	0	0	0	0	728.148	0	786.221	830.406	0	0	0	0	1321.96	351.711	0	704.874	0	441.999	851.936	0	0	0	0	747.538	0	153.993	354.421	419.575	993.001	461.512	0	0	0	0	0	0	0	0	1217.02	247.359	0	646.367	1134.08	323.224	593.864	0	489.376	0	0	0	614.335	0	0	908.581	978.314	717.852	992.43	1006.92	913.337	213.933	1011.59	0	609.009	0	0	436.836	826.524	0	443.712
K03496: chromosome_partitioning_protein	692.015	0	249.532	59.1693	946.649	304.154	1354.47	409.661	980.686	788.343	530.325	142.491	0	50.9019	0	822.037	393.311	623.466	888.579	0	0	0	54.9403	672.351	0	521.182	1008.03	0	0	0	0	1270.44	0	466.346	491.698	0	0	542.748	0	0	0	0	851.605	0	0	543.913	402.517	952.179	710.461	0	0	0	0	0	0	0	0	573.746	0	0	491.501	1072.44	516.698	686.726	0	517.282	0	0	0	477.097	0	404.825	763.292	1109.28	546.879	898.524	884.943	1451.53	0	959.028	234.379	259.665	0	0	838.059	959.4177	0	755.533
K00948: ribose_phosphate_pyrophosphokinase	1566.65	292.087	57.7767	0	602.077	241	952.305	407.42	945.764	877.709	364.218	0	0	58.9798	246.489	386.973	507.746	0	823.122	0	0	0	231.255	598.457	83.9795	753.014	565.509	0	437.214	0	0	1068.83	0	554.352	681.934	0	895.865	750.454	223.97	110.836	0	0	355.147	0	234.113	323.229	191.392	859.627	506.754	0	0	0	0	0	0	0	304.694	990.546	0	0	580.324	905.864	300.296	488.699	0	525.953	0	0	191.4217	533.748	0	0	475.254	985.152	690.112	1023.35	997.507	849.962	0	925.814	238.774	0	0	0	977.641	687.853	0	637.019
K03043: DNA_directed_RNA_polymerase_subunit_beta	749.828	531.813	100.973	24.5923	824.354	358.22	659.875	535.504	815.554	744.714	541.902	0	0	61.2463	110.398	635.378	365.2	192.753	846.238	0	0	0	44.8026	780.518	0	652.969	581.948	0	727.848	0	136.773	724.006	0	240.154	506.687	374.365	295.111	660.401	70.4766	119.1224	0	0	616.893	0	235.47	0	318.619	843.066	279.759	0	0	0	0	0	0	0	0	645.762	0	0	841.197	920.724	266.924	637.7	0	485.842	0	0	0	643.214	0	0	503.482	916.528	664.543	820.618	817.873	922.28	0	846.362	0	685.045	0	0	744.652	767.813	0	509.441
K02622: topoisomerase_IV_subunit_B	410.351	347.861	132.121	0	874.737	213.208	1089.84	333.085	828.187	787.813	774.013	0	0	0	152.267	1018.53	304.749	205.932	914.666	0	0	0	74.8704	723.969	0	781.583	736.285	0	706.296	0	0	899.542	0	406.982	533.313	455.293	425.755	439.478	67.9287	0	0	0	405.939	0	120.578	0	287.918	916.408	407.793	0	0	0	0	0	0	0	0	974.586	0	0	924.974	984.1	285.794	528.349	0	714.836	0	0	260.087	455.318	0	0	576.334	1019.2	657.014	1035.34	1041.59	930.264	0	1002.37	0	587.121	0	0	834.333	689.066	0	672.306
K03079: L_ribulose_5_phosphate_3_epimerase	679.58	477.443	113.321	0	1109.9	297.736	1165.34	532.724	844.939	698.729	456.41	0	0	0	0	753.833	428.955	269.169	818.861	460.564	0	0	39.522	544.264	0	855.022	503.724	0	0	0	0	431.033	291.339	501.961	476.573	673.913	366.077	424.723	0	145.804	0	0	464.417	0	127.532	234.868	243.326	780.903	382.298	0	0	0	0	0	0	0	0	768.365	0	0	802.8	1020.18	205.991	512.39	0	600.139	0	0	238.079	169.628	0	0	282.459	1028.48	489.697	903.672	892.171	676.458	0	807.476	115.644	0	0	0	783.107	790.752	0	231.419
